PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:04:00.86,1,1,"Mozoki, Todd",1000242926,Right,JMU_DUK,"Cox, Bennett",10275343,Right,CAN_GRI,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.59282,-0.903872,-5.460185,2239.988605,249.040549,2:15,4.31786,2.70339,6.16977,-27.71671,6.72095,14.85615,1.16943,-1.11708,82.43479,-6.053081,-2.796076,0.422365,,,,,,,,,,,,-9.12945,4.01736,-2.29647,50,4.23486,11.81067,-129.77161,-2.96542,-15.68127,25.31294,-25.2736,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,8faef0a0-f210-11ef-903e-2ffcf1b04313,89.24134,,,7.15803,,,,,,,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:04:00.86,2025-02-23T13:04:00.8660000-05:00,2025-02-23T18:04:00.8660000Z,,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,1bd02286-1335-4f5e-b2ec-20c21eb6be36,54.33085,-130.61365,12.65647,4.31952,-2.1247,-12.6368,-2.69803,12.33231,-7.84063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-23,13:04:17.33,1,2,"Mozoki, Todd",1000242926,Right,JMU_DUK,"Cox, Bennett",10275343,Right,CAN_GRI,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.62235,-0.728921,-6.29435,2340.104777,254.197218,2:30,4.2388,2.77425,5.77546,-29.09293,5.20622,14.71481,1.13197,-1.88013,83.24707,-6.082232,-3.681961,0.421515,,,,,,,,,,,,-9.11449,3.16681,-2.26139,50,4.16062,13.80779,-130.97603,-2.72318,-15.94448,25.83496,-26.63419,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,997f73c0-f210-11ef-903e-2ffcf1b04313,89.42133,,,7.37528,,,,,,,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:04:17.33,2025-02-23T13:04:17.3380000-05:00,2025-02-23T18:04:17.3380000Z,,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,f0e6340a-d22c-4d91-bc31-3f2c5f6e47ac,54.72426,-131.9046,12.91748,4.2413,-1.76589,-13.31709,-2.76798,14.38087,-7.97224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-23,13:04:32.60,1,3,"Mozoki, Todd",1000242926,Right,JMU_DUK,"Cox, Bennett",10275343,Right,CAN_GRI,Undefined,1,Top,0,2,0,Sinker,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,89.52594,1.061869,-3.775346,2303.67961,244.792921,2:15,4.31928,2.65157,5.93874,-28.25809,6.63638,11.76005,2.95175,0.12427,81.65867,-4.19567,-1.669423,0.425157,100.5037,20.1673,-16.984349,1564.459362,104.95576,37.12093,-32.92726,361.0194,314.48798,-18.029686,4.055609,-7.12725,3.41685,-2.35701,50,4.38809,8.08047,-129.82958,1.4516,-12.15847,27.3153,-26.34521,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,a2946f10-f210-11ef-903e-2ffcf1b04313,88.65526,50.21032,,7.86727,,,,1.73647,2.93931,-0.12485,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:04:32.60,2025-02-23T13:04:32.6060000-05:00,2025-02-23T18:04:32.6060000Z,LineDrive,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,6f8dcc1d-3403-4f19-a579-8660e801bf95,54.56091,-130.78564,13.65765,4.32115,2.37371,-13.1726,-2.64728,8.50603,-6.07924,166.458681,1.73574,132.35217,-22.81934,5.34481,-1.33644,0.34304,-0.0745,0.01018,-0.00059,2.94026,50.79477,-14.32009,0.12763,0.30784,-0.17027,0.05025,-0.00729,0.0004,-0.12437,-40.432,4.5149,-0.4076,0.07815,-0.05194,0.01899,-0.00326,0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-02-23,13:05:15.80,2,1,"Mozoki, Todd",1000242926,Right,JMU_DUK,"Glassford, Ronan",10293513,Left,CAN_GRI,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.07387,0.030745,-3.367752,2274.835664,278.255135,3:15,4.27276,2.98117,5.75711,-36.88183,-1.31508,17.04666,1.22795,1.26332,81.28164,-6.74768,-0.317954,0.429233,,,,,,,,,,,,-9.64264,-0.32095,-2.71216,50,4.25293,6.86645,-129.19919,-1.28865,-16.23328,27.92788,-32.71435,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,bc4bd6a0-f210-11ef-903e-2ffcf1b04313,87.81339,,,7.79222,,,,,,,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:05:15.80,2025-02-23T13:05:15.8080000-05:00,2025-02-23T18:05:15.8080000Z,,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,dd12d8ec-c37f-4963-8696-e051c00d7d33,54.74261,-130.22033,13.96394,4.27818,-0.0925,-16.35718,-2.97407,7.45999,-8.11664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-23,13:05:35.98,2,2,"Mozoki, Todd",1000242926,Right,JMU_DUK,"Glassford, Ronan",10293513,Left,CAN_GRI,Undefined,1,Top,0,1,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.08415,1.129132,-4.991177,2303.556485,275.128605,3:15,4.25047,2.90882,5.81243,-35.70663,-0.70236,21.30789,2.32899,0.03159,81.48974,-5.458549,-1.1896,0.425826,92.65053,-47.455883,-101.477128,,,,,2.11853,2.11853,-77.494195,0.022699,-12.37993,-0.35181,-2.51178,50,4.32211,10.45571,-130.33777,1.26907,-21.10829,29.65119,-32.77387,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,c854bd90-f210-11ef-903e-2ffcf1b04313,88.51611,2.2768,,8.5944,,,,0.87451,2.2768,-0.02052,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:05:35.98,2025-02-23T13:05:35.9850000-05:00,2025-02-23T18:05:35.9850000Z,GroundBall,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,597d35f5-8979-4ab9-97e6-adb98f6cc064,54.68746,-131.39981,14.82559,4.25563,2.44297,-16.38694,-2.89982,11.21177,-10.55415,,0.87464,-18.31692,,,,,,,,2.2775,-100.30586,,,,,,,,-0.01989,-90.21485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2025-02-23,13:06:05.15,2,3,"Mozoki, Todd",1000242926,Right,JMU_DUK,"Glassford, Ronan",10293513,Left,CAN_GRI,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.22198,1.308316,-0.595433,2530.588074,93.015375,9:00,4.01747,2.91423,4.83909,-42.74345,1.92421,-6.37311,1.69458,1.81933,73.38321,-6.468264,-1.717514,0.481025,,,,,,,,,,,,2.91512,1.05221,-2.84967,50,4.11085,1.50803,-117.58828,1.07209,4.02648,25.10463,-30.7207,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,d9bc9cb0-f210-11ef-903e-2ffcf1b04313,78.35851,,,7.83878,,,,,,,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:06:05.15,2025-02-23T13:06:05.1590000-05:00,2025-02-23T18:06:05.1590000Z,,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,32ef3f91-39b1-49e0-85f3-269b39c30202,55.65562,-118.78959,12.55231,4.02437,2.54215,-15.36035,-2.91722,1.31535,2.01324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-23,13:06:26.24,2,4,"Mozoki, Todd",1000242926,Right,JMU_DUK,"Glassford, Ronan",10293513,Left,CAN_GRI,Undefined,1,Top,0,2,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.22881,1.191892,-5.245911,2347.785199,269.484593,3:00,4.2632,2.85269,5.79722,-34.55533,1.56795,21.30462,2.49702,-0.26496,79.80493,-5.217634,-1.449037,0.432579,79.67956,-0.525727,-7.047594,1719.530259,,,,43.1181,41.02951,-7.672871,0.372951,-12.62044,0.78032,-2.43334,50,4.34107,10.905,-128.88216,1.45372,-20.80085,31.80659,-30.88795,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,e6567900-f210-11ef-903e-2ffcf1b04313,87.13428,2.53511,,9.42388,,,,1.45956,2.53511,0.2832,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:06:26.24,2025-02-23T13:06:26.2400000-05:00,2025-02-23T18:06:26.2400000Z,GroundBall,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,12435331-496e-47da-b0df-99d1f3499ab1,54.7008,-130.03709,15.9033,4.26792,2.57529,-15.44397,-2.84303,11.6603,-10.40043,91.161794,1.46407,115.81384,-13.8707,,,,,,,2.53772,-1.16515,-15.13908,,,,,,,0.2862,-14.44508,-4.73597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,High,High,,,
8,2025-02-23,13:07:02.57,3,1,"Mozoki, Todd",1000242926,Right,JMU_DUK,"Spinosa, JC",1000309801,Right,CAN_GRI,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,FlyBall,Single,0,1,,83.39559,0.912944,-3.279227,2632.597528,108.78816,9:45,4.20489,3.033,5.13106,-37.93018,3.52603,-6.5904,1.90529,-0.6078,76.40825,-5.989143,-4.441605,0.463411,67.47561,38.978522,0.1598,4337.806125,109.77781,60.70543,6.98643,207.98127,202.41524,6.627643,4.091814,2.39177,1.8385,-2.71959,50,4.2612,7.2024,-120.85002,0.54227,3.53448,23.71559,-29.45717,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,fbfdd690-f210-11ef-903e-2ffcf1b04313,81.33697,61.01988,,6.98734,,,,2.72904,2.06734,0.50389,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:07:02.57,2025-02-23T13:07:02.5770000-05:00,2025-02-23T18:07:02.5770000Z,FlyBall,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,cfd5d7bb-5b87-4a16-aa31-5ff4dfe4f34e,55.36847,-121.89897,11.8578,4.20841,1.84518,-14.72858,-3.03469,7.04607,1.76724,193.75977,2.72948,76.92593,-15.05714,3.90772,-0.75667,0.12302,-0.02231,0.00373,-0.00029,2.06808,62.22448,-17.58799,0.45305,0.31329,-0.22574,0.07455,-0.01204,0.00075,0.5038,0.21637,2.52658,-0.47897,0.0789,-0.02092,0.00736,-0.00146,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-02-23,13:07:51.07,4,1,"Mozoki, Todd",1000242926,Right,JMU_DUK,"Rumley, Trent",1000121677,Right,CAN_GRI,Undefined,1,Top,1,0,0,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.22221,1.370403,-3.463164,2365.666663,231.423989,1:45,4.41919,2.83582,5.66777,-24.70423,9.44493,10.4152,3.64084,0.47081,82.63507,-3.238164,-1.607147,0.420592,,,,,,,,,,,,-6.24906,4.73221,-2.54947,50,4.51978,7.51821,-132.12617,2.29386,-10.98752,29.55897,-23.85358,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,18de6a90-f211-11ef-903e-2ffcf1b04313,89.61752,,,8.58714,,,,,,,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:07:51.07,2025-02-23T13:07:51.0750000-05:00,2025-02-23T18:07:51.0750000Z,,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,dc6cb3a5-4229-477e-b087-d4179416dee2,54.82799,-133.2019,14.77949,4.4205,3.16196,-11.92679,-2.83035,7.91807,-5.49376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-23,13:08:12.04,4,2,"Mozoki, Todd",1000242926,Right,JMU_DUK,"Rumley, Trent",1000121677,Right,CAN_GRI,Undefined,1,Top,1,1,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.52757,-0.039651,-4.464056,2303.617457,236.027353,1:45,4.29028,2.86007,5.65942,-27.46214,7.22788,9.02489,1.96468,-0.55918,82.33318,-5.12586,-2.858581,0.42391,,,,,,,,,,,,-5.84788,4.03008,-2.4874,50,4.26969,9.82541,-131.03735,-1.0792,-10.12834,28.69323,-25.19405,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,25594d30-f211-11ef-903e-2ffcf1b04313,88.91612,,,8.19439,,,,,,,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:08:12.04,2025-02-23T13:08:12.0420000-05:00,2025-02-23T18:08:12.0420000Z,,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,7979c884-8b9c-4c0a-b54e-0ca5723b7534,54.83749,-132.09237,14.34662,4.29234,-0.15284,-12.59702,-2.85551,10.19782,-5.06417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2025-02-23,13:08:49.20,4,3,"Mozoki, Todd",1000242926,Right,JMU_DUK,"Rumley, Trent",1000121677,Right,CAN_GRI,Undefined,1,Top,1,1,1,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,90.04858,-0.219743,-4.491002,2254.023074,253.339714,2:30,4.2765,2.87135,5.76953,-28.71864,6.1389,16.68127,1.67815,0.0735,81.98887,-5.541353,-1.514676,0.424932,86.58794,38.464048,14.796766,,103.62734,75.17985,36.89679,264.98558,251.3303,26.697569,4.907216,-9.80575,3.52362,-2.50966,50,4.24089,9.52384,-130.42669,-1.51781,-16.83802,28.23509,-26.12342,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,3b83e480-f211-11ef-903e-2ffcf1b04313,88.70225,86.93945,,8.05971,,,,0.83854,1.64407,-0.05285,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:08:49.20,2025-02-23T13:08:49.2080000-05:00,2025-02-23T18:08:49.2080000Z,FlyBall,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,86f20494-9b09-449d-8971-404345e5060b,54.72971,-131.4466,14.11755,4.27868,-0.57418,-13.06171,-2.86467,10.13206,-8.41901,208.745043,0.841,96.09457,-22.68465,5.516,-1.17785,0.24069,-0.04676,0.00636,-0.00037,1.64622,78.93969,-20.93009,1.19689,0.28093,-0.24428,0.07248,-0.00993,0.00052,-0.05277,25.39239,1.47609,-1.15378,0.43408,-0.12323,0.02447,-0.00283,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
12,2025-02-23,13:09:25.04,5,1,"Mozoki, Todd",1000242926,Right,JMU_DUK,"Cisco, Mason",1000220717,Left,CAN_GRI,Undefined,1,Top,2,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.30914,1.123265,-2.462518,2236.99565,243.120667,2:00,4.51114,2.7303,5.56986,-28.52789,6.66607,10.66666,3.18416,1.31754,81.26869,-4.181047,-0.561752,0.426978,,,,,,,,,,,,-6.13237,3.39276,-2.52501,50,4.58965,5.13464,-130.80498,1.52588,-10.47471,31.22486,-26.37887,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,50d5cf10-f211-11ef-903e-2ffcf1b04313,88.27726,,,9.04045,,,,,,,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:09:25.04,2025-02-23T13:09:25.0490000-05:00,2025-02-23T18:09:25.0490000Z,,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,5fd8172c-3ab8-4b99-a13d-fe93290aa9af,54.92525,-131.97547,15.61243,4.51392,2.51471,-13.18944,-2.72484,5.52729,-5.23736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2025-02-23,13:09:43.65,5,2,"Mozoki, Todd",1000242926,Right,JMU_DUK,"Cisco, Mason",1000220717,Left,CAN_GRI,Undefined,1,Top,2,0,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.45877,-0.151844,-3.065142,2274.691816,250.07983,2:15,4.49026,2.77605,5.56858,-26.89962,7.96024,18.68462,2.10658,1.46717,82.01348,-5.144862,0.264729,0.424947,,,,,,,,,,,,-10.37225,4.41638,-2.5243,50,4.45966,6.18339,-131.12546,-1.31991,-17.91603,29.77238,-24.54561,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,5bf62ac0-f211-11ef-903e-2ffcf1b04313,88.69923,,,8.44529,,,,,,,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:09:43.65,2025-02-23T13:09:43.6590000-05:00,2025-02-23T18:09:43.6590000Z,,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,f0866895-dce4-4ecd-963e-88b0a6719250,54.92982,-132.24005,14.88619,4.49187,-0.40099,-12.27281,-2.76835,6.85411,-8.95802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
14,2025-02-23,13:10:23.84,5,3,"Mozoki, Todd",1000242926,Right,JMU_DUK,"Cisco, Mason",1000220717,Left,CAN_GRI,Undefined,1,Top,2,0,2,Sinker,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.1588,0.597707,-3.347674,2346.786275,243.903555,2:15,4.60208,2.79695,5.86693,-23.88875,9.43867,16.89328,3.16753,1.09149,83.16661,-3.886429,-0.323154,0.415501,,,,,,,,,,,,-9.5954,4.98339,-2.5351,50,4.63686,7.0468,-133.53792,0.57515,-17.14164,31.62047,-23.27148,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,73f1b180-f211-11ef-903e-2ffcf1b04313,90.71559,,,8.99219,,,,,,,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:10:23.84,2025-02-23T13:10:23.8480000-05:00,2025-02-23T18:10:23.8480000Z,,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,099e283c-68ba-49a6-b8cc-d25643bcf678,54.62946,-134.62967,15.81023,4.60313,1.37863,-11.63574,-2.78862,7.63864,-8.57082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
15,2025-02-23,13:13:17.58,1,1,"Duffy, Aaron",10029727,Right,CAN_GRI,"Dooley, Ryan",1000244290,Left,JMU_DUK,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.51378,-1.53292,-1.053289,2006.476715,212.003394,1:00,6.25516,1.68529,5.32834,-24.90245,14.07635,7.85371,2.74102,1.35134,77.5215,-6.192377,0.342357,0.449351,,,,,,,,,,,,-4.23811,7.99709,-1.59573,50,6.09931,1.93979,-125.1704,-4.19095,-6.57962,30.31737,-19.75866,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,db849600-f211-11ef-903e-2ffcf1b04313,83.882,,,8.99228,,,,,,,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:13:17.58,2025-02-23T13:13:17.5840000-05:00,2025-02-23T18:13:17.5840000Z,,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Jones, Ryan",10135809,Right,CAN_GRI,532500fe-57f1-4ec1-bb7d-d0cf4b081460,55.16319,-126.41479,15.15868,6.25469,-3.37994,-9.87933,-1.68089,2.20986,-3.28981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
16,2025-02-23,13:13:32.11,1,2,"Duffy, Aaron",10029727,Right,CAN_GRI,"Dooley, Ryan",1000244290,Left,JMU_DUK,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.36822,-3.083712,-1.322404,2023.28595,199.697282,12:45,6.35446,1.66883,5.0686,-21.19702,18.55261,6.06366,1.677,0.92709,77.12558,-7.068483,-0.250238,0.453772,,,,,,,,,,,,-3.46095,10.73528,-1.54831,50,6.04572,2.59815,-124.71257,-7.4146,-5.30991,31.11956,-15.70362,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,e42a54c0-f211-11ef-903e-2ffcf1b04313,83.06466,,,9.24264,,,,,,,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:13:32.11,2025-02-23T13:13:32.1120000-05:00,2025-02-23T18:13:32.1120000Z,,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Jones, Ryan",10135809,Right,CAN_GRI,97a814fd-db04-4888-8c24-006b9e1720d5,55.42381,-126.0587,15.55978,6.35176,-6.73531,-7.85181,-1.66567,2.82784,-2.65495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
17,2025-02-23,13:13:45.50,1,3,"Duffy, Aaron",10029727,Right,CAN_GRI,"Dooley, Ryan",1000244290,Left,JMU_DUK,Undefined,1,Bottom,0,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.13265,-0.757925,-1.869355,2064.152163,191.34114,12:30,6.39004,1.56289,5.17551,-24.92726,13.66457,2.44606,3.59916,0.00708,78.1121,-5.409547,-1.436384,0.447115,96.29193,3.198173,37.818046,4129.095568,,,,77.08562,76.31635,38.636854,0.589204,-1.85839,7.47957,-1.39088,50,6.30121,4.00497,-126.09251,-2.53985,-2.92925,30.65049,-20.38462,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250223-EagleFieldJMU-1,ec1a7f20-f211-11ef-903e-2ffcf1b04313,84.30145,4.23316,,9.02055,,,,2.1063,3.63253,0.20588,d7ea3d4b-51c6-4869-b461-556850e26ef4,2025-02-23,18:13:45.50,2025-02-23T13:13:45.5020000-05:00,2025-02-23T18:13:45.5020000Z,GroundBall,v3,471327,471265,23 February 2025 13:00-canisius@jamesmad,"Jones, Ryan",10135809,Right,CAN_GRI,a3f78d2a-3f2b-43d3-8c5c-7be42a308fc1,55.31973,-127.37906,15.32525,6.38987,-1.6842,-10.19231,-1.56157,4.12793,-1.46463,,2.1442,110.51879,-20.40618,,,,,,,3.67043,7.00467,-22.56149,,,,,,,0.21106,86.34426,-8.52519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
