PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,16:25:45.95,1,1,"Floyd, George Derrick",1000112363,Left,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.60268,-2.595372,3.818234,2217.547599,130.542977,10:15,5.30993,-2.44288,6.23644,-34.69478,12.54989,-12.86686,0.01764,0.01222,70.45949,-9.046539,1.496551,0.494707,,,,,,,,,,,,7.84363,7.6952,2.16451,50,5.09869,-6.98246,-111.02923,-5.98171,9.77239,20.23309,-22.58656,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250426-RileyPark-1,a2ece8f0-22dc-11f0-8c2a-1f44c1b73473,76.19151,,,6.14319,,,,,,,6e09d3cf-4d4a-4af0-903c-1a09668f1ad0,2025-04-26,20:25:45.95,2025-04-26T16:25:45.9570000-04:00,2025-04-26T20:25:45.9570000Z,,v3,471271,471480,26 April 2025 15:00-vmi@citadel,"Fulmer, Garrett",10080019,Right,CIT_BUL,82ff279b-4924-453d-ba9c-51f0f22b54f8,54.26261,-111.80331,10.11655,5.31101,-5.11759,-11.29328,2.4388,-7.35634,4.88619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-26,15:03:02.77,1,2,"Floyd, George Derrick",1000112363,Left,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.98242,-1.225273,1.40272,2152.434339,141.731435,10:45,5.0445,-0.98088,5.23106,-20.61816,16.61548,-12.11079,2.17405,-0.67129,79.91043,-5.083046,-0.744402,0.439176,,,,,,,,,,,,6.48331,9.03827,0.86124,50,4.91683,-2.57867,-127.56125,-3.42772,10.61333,27.82655,-17.37817,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250426-RileyPark-1,14a4f6b0-22d1-11f0-b764-696b6a0e27ab,85.82527,,,8.07199,,,,,,,6e09d3cf-4d4a-4af0-903c-1a09668f1ad0,2025-04-26,19:03:02.77,2025-04-26T15:03:02.7700000-04:00,2025-04-26T19:03:02.7700000Z,,v3,471271,471480,26 April 2025 15:00-vmi@citadel,"Fulmer, Garrett",10080019,Right,CIT_BUL,735d9868-215b-4161-8119-d2e1704a83f7,55.26553,-128.70476,13.91327,5.04302,-2.71358,-8.68908,0.97617,-3.01482,5.30666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-26,15:03:15.97,1,3,"Floyd, George Derrick",1000112363,Left,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.84549,-0.003626,2.435704,2276.95093,138.415979,10:30,5.13113,-0.88212,5.23144,-18.25233,18.37938,-15.18359,3.60669,0.1435,80.28309,-3.455957,-0.253241,0.435612,,,,,,,,,,,,8.26386,9.52158,0.66941,50,5.11776,-4.76587,-128.70907,-0.59832,13.74478,28.83195,-16.33737,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250426-RileyPark-1,1c6166e0-22d1-11f0-b764-696b6a0e27ab,86.52755,,,8.5624,,,,,,,6e09d3cf-4d4a-4af0-903c-1a09668f1ad0,2025-04-26,19:03:15.97,2025-04-26T15:03:15.9760000-04:00,2025-04-26T19:03:15.9760000Z,,v3,471271,471480,26 April 2025 15:00-vmi@citadel,"Fulmer, Garrett",10080019,Right,CIT_BUL,24ed4a0a-c6ac-41c4-a553-86ebe0a6d0b6,55.26339,-129.88277,14.41597,5.12858,0.06675,-8.16868,0.87481,-5.32539,6.87239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-26,15:03:28.88,1,4,"Floyd, George Derrick",1000112363,Left,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,2,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.70931,1.131634,1.143151,2490.342584,255.505984,2:30,4.82644,-1.11947,4.54639,-42.71679,4.1187,9.57245,2.34432,0.7666,72.16649,-6.601905,2.818715,0.49256,,,,,,,,,,,,-4.27579,2.15654,0.99103,50,4.90452,-2.73074,-115.35596,0.65841,-5.69221,23.86782,-29.30315,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250426-RileyPark-1,242418a0-22d1-11f0-b764-696b6a0e27ab,76.52357,,,7.54282,,,,,,,6e09d3cf-4d4a-4af0-903c-1a09668f1ad0,2025-04-26,19:03:28.88,2025-04-26T15:03:28.8870000-04:00,2025-04-26T19:03:28.8870000Z,,v3,471271,471480,26 April 2025 15:00-vmi@citadel,"Fulmer, Garrett",10080019,Right,CIT_BUL,a6e91dcb-8472-4fbc-93cb-14fe65bcf461,55.94813,-116.58017,11.93391,4.8322,2.1614,-14.65158,1.1236,-2.43878,-2.8461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-26,15:03:42.72,1,5,"Floyd, George Derrick",1000112363,Left,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,2,2,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.08458,-0.41392,3.088786,2452.701136,252.472432,2:30,4.94015,-0.98853,4.71471,-41.8105,4.50618,9.04162,1.06255,2.69906,72.63943,-7.974779,4.673283,0.489824,,,,,,,,,,,,-3.42819,2.83362,0.66754,50,4.86148,-6.64378,-115.78061,-2.39022,-4.5842,24.61989,-28.38491,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250426-RileyPark-1,2c5c6f90-22d1-11f0-b764-696b6a0e27ab,76.95098,,,7.44515,,,,,,,6e09d3cf-4d4a-4af0-903c-1a09668f1ad0,2025-04-26,19:03:42.72,2025-04-26T15:03:42.7230000-04:00,2025-04-26T19:03:42.7230000Z,,v3,471271,471480,26 April 2025 15:00-vmi@citadel,"Fulmer, Garrett",10080019,Right,CIT_BUL,f066dd03-0157-4bf9-8788-69ed565066bf,55.7801,-117.00325,12.30994,4.94518,-0.98061,-14.19246,0.99182,-6.41612,-2.2921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-26,15:03:57.42,1,6,"Floyd, George Derrick",1000112363,Left,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.70899,-0.315848,2.295191,2372.019964,158.381504,11:15,5.10878,-0.95085,5.32759,-14.25442,21.42564,-8.01678,3.6243,0.53584,81.3233,-3.052049,0.87323,0.429916,,,,,,,,,,,,4.65792,11.14418,0.74919,50,5.07041,-4.83775,-130.02078,-1.12719,7.93411,28.52352,-13.19149,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250426-RileyPark-1,351ba9c0-22d1-11f0-b764-696b6a0e27ab,87.67386,,,8.38569,,,,,,,6e09d3cf-4d4a-4af0-903c-1a09668f1ad0,2025-04-26,19:03:57.42,2025-04-26T15:03:57.4270000-04:00,2025-04-26T19:03:57.4270000Z,,v3,471271,471480,26 April 2025 15:00-vmi@citadel,"Fulmer, Garrett",10080019,Right,CIT_BUL,263c229b-f0d8-4e4b-b398-c5dcdee2427c,55.16692,-131.14938,14.26176,5.10469,-0.60524,-6.59575,0.94681,-5.15168,3.96706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-26,15:04:16.84,1,7,"Floyd, George Derrick",1000112363,Left,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.47689,-0.635555,2.548026,2103.169375,142.512018,10:45,4.91751,-0.92982,5.26305,-19.43934,18.17883,-12.97052,2.69988,0.38459,79.40186,-4.293537,0.249899,0.441439,78.30941,45.590836,-80.116315,5002.885055,,,,,74.07361,,,7.23154,9.6454,0.70653,50,4.84553,-5.0593,-126.77703,-2.04164,11.70844,27.17041,-16.5574,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250426-RileyPark-1,40c9ed90-22d1-11f0-b764-696b6a0e27ab,85.38546,68.86651,,8.07503,,,,0.88798,4.47534,-0.75577,6e09d3cf-4d4a-4af0-903c-1a09668f1ad0,2025-04-26,19:04:16.84,2025-04-26T15:04:16.8460000-04:00,2025-04-26T19:04:16.8460000Z,,v3,471271,471480,26 April 2025 15:00-vmi@citadel,"Fulmer, Garrett",10080019,Right,CIT_BUL,25f3731c-3313-4ff4-a7e2-43f2a37b0d91,55.23322,-127.89368,13.58521,4.91545,-1.36117,-8.2787,0.92435,-5.5405,5.85422,,0.88799,13.79498,-10.64001,3.04803,-0.32714,-0.09548,-0.23572,0.30213,-0.09423,4.47534,82.04727,-22.26226,2.08332,-0.56026,0.21667,0.03655,-0.10976,0.0377,-0.75577,-79.17889,12.7624,-2.78075,0.41982,-0.05338,0.12282,-0.11847,0.03459,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
8,2025-04-26,15:04:35.12,1,8,"Floyd, George Derrick",1000112363,Left,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.83949,-0.527106,1.424317,2186.684075,152.480955,11:00,4.96029,-1.03593,5.35141,-17.52485,18.18446,-8.94878,3.00535,-0.44552,81.9727,-3.8073,-0.16518,0.430093,77.78871,-25.571728,6.300653,,,,,6.47733,6.34329,10.018777,0.060048,4.86339,9.58918,0.91448,50,4.90064,-2.81626,-129.10027,-1.76795,8.30584,23.8735,-15.79737,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250426-RileyPark-1,4bae2aa0-22d1-11f0-b764-696b6a0e27ab,87.63792,2.9673,,6.86679,,,,0.21494,2.9673,0.44633,6e09d3cf-4d4a-4af0-903c-1a09668f1ad0,2025-04-26,19:04:35.12,2025-04-26T15:04:35.1280000-04:00,2025-04-26T19:04:35.1280000Z,GroundBall,v3,471271,471480,26 April 2025 15:00-vmi@citadel,"Fulmer, Garrett",10080019,Right,CIT_BUL,ca2128f3-d197-4196-ba06-7395a92bb95c,55.14735,-130.04865,11.93675,4.95841,-1.1404,-7.89868,1.03291,-3.14621,4.15292,180,0.21154,102.64437,,,,,,,,2.96893,-49.41516,,,,,,,,0.44595,11.33323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-04-26,15:05:10.61,2,1,"Floyd, George Derrick",1000112363,Left,CIT_BUL,"Garner, Bradley",10055071,Right,VIR_KEY,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.59341,-0.526314,1.212681,2071.815273,145.028539,10:45,5.10014,-1.01233,5.36985,-18.36733,17.98812,-11.75934,3.07595,-0.85513,80.71326,-3.987437,-0.877131,0.433966,,,,,,,,,,,,6.23339,9.52378,0.9122,50,5.04033,-2.19139,-128.5561,-1.77374,10.41319,27.08779,-16.26402,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250426-RileyPark-1,60ba0b80-22d1-11f0-b764-696b6a0e27ab,86.85564,,,7.88015,,,,,,,6e09d3cf-4d4a-4af0-903c-1a09668f1ad0,2025-04-26,19:05:10.61,2025-04-26T15:05:10.6190000-04:00,2025-04-26T19:05:10.6190000Z,,v3,471271,471480,26 April 2025 15:00-vmi@citadel,"Fulmer, Garrett",10080019,Right,CIT_BUL,8229b1f5-8762-421d-89fa-cc52fda219a4,55.12638,-129.63177,13.54389,5.09795,-1.12789,-8.13201,1.00743,-2.6049,5.20659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-26,15:05:25.19,2,2,"Floyd, George Derrick",1000112363,Left,CIT_BUL,"Garner, Bradley",10055071,Right,VIR_KEY,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.16438,-2.286303,2.488608,2264.061732,146.899586,11:00,5.04488,-0.78105,5.2327,-15.65304,20.71139,-12.67686,1.58824,0.50322,80.84498,-5.26173,0.243443,0.43402,,,,,,,,,,,,7.11733,11.42268,0.56194,50,4.82328,-5.03782,-129.11921,-5.64874,11.92508,28.77239,-13.03543,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250426-RileyPark-1,69810de0-22d1-11f0-b764-696b6a0e27ab,86.84491,,,8.3194,,,,,,,6e09d3cf-4d4a-4af0-903c-1a09668f1ad0,2025-04-26,19:05:25.19,2025-04-26T15:05:25.1950000-04:00,2025-04-26T19:05:25.1950000Z,,v3,471271,471480,26 April 2025 15:00-vmi@citadel,"Fulmer, Garrett",10080019,Right,CIT_BUL,d591cde2-00df-4e57-b9fe-52ad30f9fb04,55.26445,-130.28704,14.38619,5.04182,-5.11965,-6.51771,0.77624,-5.52184,5.96254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
