PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-16,13:04:14.17,1,1,"Nelson, Jack",1000170792,Left,ASU_RED,"Germann, Davis",10326206,Right,MOR_EAG,Undefined,1,Top,0,0,0,TwoSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.30809,-2.847169,2.473556,2111.658383,145.466695,10:45,5.78115,-1.59826,6.46281,-18.21749,19.06804,-12.00272,1.64319,-0.32501,77.12951,-6.412922,0.297527,0.439482,,,,,,,,,,,,7.17461,11.49127,1.42809,50,5.57156,-4.96473,-126.22846,-6.70731,11.13671,34.76316,-14.3369,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250216-KellField-1,d0630870-ec98-11ef-8c44-3f442e5ad386,85.76551,,,10.17858,,,,,,,472384b1-65a9-4521-904d-8812be60803e,2025-02-16,19:04:14.17,2025-02-16T13:04:14.1737472-06:00,2025-02-16T19:04:14.1737472Z,,v3,471233,471366,,"Amundson, Kaden",1000091247,Right,ASU_RED,2585c51a-5425-4f17-acea-d1c1b211c493,54.03053,-127.33363,17.38158,5.77755,-6.25152,-7.16845,1.59156,-5.31878,5.56835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-16,13:04:33.06,1,2,"Nelson, Jack",1000170792,Left,ASU_RED,"Germann, Davis",10326206,Right,MOR_EAG,Undefined,1,Top,0,0,1,TwoSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.90354,-1.942316,0.904979,2097.341785,154.487807,11:15,5.839,-1.41743,6.3276,-14.81119,21.3356,-9.54315,2.81514,-1.37923,79.08011,-4.844125,-0.821881,0.432719,,,,,,,,,,,,5.21162,12.07674,1.35541,50,5.68981,-1.62276,-127.48924,-4.65095,8.42958,30.42647,-12.6405,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250216-KellField-1,dba8ed80-ec98-11ef-8c44-3f442e5ad386,87.10598,,,8.82343,,,,,,,472384b1-65a9-4521-904d-8812be60803e,2025-02-16,19:04:33.06,2025-02-16T13:04:33.0690048-06:00,2025-02-16T19:04:33.0690048Z,,v3,471233,471366,,"Amundson, Kaden",1000091247,Right,ASU_RED,2e4fc3ee-a093-4fe0-8489-ff1eb9461b2a,54.16838,-128.48021,15.21323,5.83459,-4.23926,-6.32025,1.41274,-1.89731,4.21479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-16,13:04:49.35,1,3,"Nelson, Jack",1000170792,Left,ASU_RED,"Germann, Davis",10326206,Right,MOR_EAG,Undefined,1,Top,0,1,1,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.43163,-2.592101,2.360275,2047.331303,136.039781,10:30,5.7669,-1.5505,6.45884,-21.19729,16.42123,-14.12745,1.61568,-0.55838,76.38489,-6.723291,-0.20208,0.441441,,,,,,,,,,,,8.28056,10.13729,1.3888,50,5.57413,-4.61602,-126.2784,-6.25425,12.70267,37.64976,-16.62307,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250216-KellField-1,e5604350-ec98-11ef-8c44-3f442e5ad386,85.38506,,,11.04673,,,,,,,472384b1-65a9-4521-904d-8812be60803e,2025-02-16,19:04:49.35,2025-02-16T13:04:49.3561856-06:00,2025-02-16T19:04:49.3561856Z,,v3,471233,471366,,"Amundson, Kaden",1000091247,Right,ASU_RED,8b38610c-1de9-44c3-ab53-5e7f87fe980b,54.03177,-127.47479,18.82488,5.76448,-5.72601,-8.31154,1.54189,-5.01967,6.35134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-16,13:05:05.30,1,4,"Nelson, Jack",1000170792,Left,ASU_RED,"Germann, Davis",10326206,Right,MOR_EAG,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,81.68781,0.107251,2.958794,1756.675979,98.164252,9:15,5.5086,-1.62112,6.60677,-37.87282,3.70284,-14.95339,2.45091,-0.15448,73.49007,-7.028666,0.239671,0.464078,90.0956,30.578492,9.066603,3699.499572,107.91331,56.71183,21.3235,291.98851,288.22644,12.679767,4.349193,8.88256,2.35036,1.42511,50,5.50065,-5.59253,-118.49553,-0.84751,12.35051,27.30375,-28.90606,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250216-KellField-1,eedd9d60-ec98-11ef-8c44-3f442e5ad386,81.22006,67.48318,,8.19775,,,,1.15792,2.36521,0.13754,472384b1-65a9-4521-904d-8812be60803e,2025-02-16,19:05:05.30,2025-02-16T13:05:05.3030912-06:00,2025-02-16T19:05:05.3030912Z,FlyBall,v3,471233,471366,,"Amundson, Kaden",1000091247,Right,ASU_RED,19c9f8ea-8e49-4d27-b619-e82d05c31509,53.89251,-119.38907,13.65187,5.51291,0.09847,-14.45303,1.61474,-5.99672,6.17525,202.92884,1.15867,112.32783,-24.88152,6.69784,-1.57312,0.34892,-0.07283,0.01079,-0.0007,2.36705,67.17277,-18.675,0.13695,0.73686,-0.40536,0.11638,-0.01681,0.00095,0.13764,17.92534,1.13445,-1.49425,0.59063,-0.16181,0.03124,-0.00363,0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-02-16,13:05:37.41,2,1,"Nelson, Jack",1000170792,Left,ASU_RED,"Olson, Griffin",1000266816,Left,MOR_EAG,Undefined,1,Top,1,0,0,TwoSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.22371,-3.442474,3.238091,2070.601102,152.242123,11:00,5.86629,-1.30121,6.38213,-16.41135,20.43103,-10.01603,1.32288,0.84618,78.50317,-6.628966,1.427414,0.436863,,,,,,,,,,,,6.29044,12.19182,1.07213,50,5.60997,-6.74655,-126.19938,-7.991,9.9587,30.07147,-12.87251,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250216-KellField-1,0204dfc0-ec99-11ef-8c44-3f442e5ad386,86.27976,,,8.72054,,,,,,,472384b1-65a9-4521-904d-8812be60803e,2025-02-16,19:05:37.41,2025-02-16T13:05:37.4198784-06:00,2025-02-16T19:05:37.4198784Z,,v3,471233,471366,,"Amundson, Kaden",1000091247,Right,ASU_RED,24dd8059-741a-4e7a-ad5c-680d62491c94,54.11563,-127.17629,15.03574,5.86278,-7.57282,-6.43626,1.29656,-7.07007,4.97935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-16,13:05:51.46,2,2,"Nelson, Jack",1000170792,Left,ASU_RED,"Olson, Griffin",1000266816,Left,MOR_EAG,Undefined,1,Top,1,1,0,TwoSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.36921,-2.335343,2.435761,2125.970515,162.005086,11:30,5.84309,-1.45909,6.3948,-14.99662,22.38359,-6.73516,2.44236,0.22124,76.93005,-5.327787,1.217049,0.44004,72.94524,-19.311267,31.693189,,,,,9.20354,8.17039,22.598828,0.070557,4.48425,13.04879,1.28701,50,5.66832,-5.10478,-126.3484,-5.46252,6.95297,35.51581,-11.94153,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250216-KellField-1,0a5ec870-ec99-11ef-8c44-3f442e5ad386,85.65682,2.50446,,10.43916,,,,2.41558,2.50446,-0.21818,472384b1-65a9-4521-904d-8812be60803e,2025-02-16,19:05:51.46,2025-02-16T13:05:51.4635776-06:00,2025-02-16T19:05:51.4635776Z,GroundBall,v3,471233,471366,,"Amundson, Kaden",1000091247,Right,ASU_RED,18a7eae2-6163-4abe-815d-cf3796cd4f5f,54.09985,-127.49563,17.75791,5.83854,-5.07679,-5.97076,1.45554,-5.32938,3.47649,180,2.41241,86.18944,,,,,,,,2.50577,-35.49545,,,,,,,,-0.22014,53.21753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-02-16,13:06:24.04,3,1,"Nelson, Jack",1000170792,Left,ASU_RED,"Robbins, Hayden",1000100866,Right,MOR_EAG,Undefined,1,Top,2,0,0,TwoSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.25736,-2.975491,2.634953,2105.07288,156.518973,11:15,5.8549,-1.37043,6.31557,-15.5406,21.46517,-8.69493,1.81372,0.3338,78.15266,-6.01689,1.064022,0.437831,,,,,,,,,,,,5.43386,12.60229,1.18145,50,5.62929,-5.46729,-126.30149,-6.92652,8.57427,31.27236,-12.28842,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250216-KellField-1,1dcbc660-ec99-11ef-8c44-3f442e5ad386,86.08909,,,9.10469,,,,,,,472384b1-65a9-4521-904d-8812be60803e,2025-02-16,19:06:24.04,2025-02-16T13:06:24.0478720-06:00,2025-02-16T19:06:24.0478720Z,,v3,471233,471366,,"Amundson, Kaden",1000091247,Right,ASU_RED,f673389b-01e6-4f7a-b6ac-498f0b3d1b49,54.18167,-127.33266,15.63618,5.85101,-6.52133,-6.14421,1.36639,-5.75001,4.28713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-16,13:06:38.62,3,2,"Nelson, Jack",1000170792,Left,ASU_RED,"Robbins, Hayden",1000100866,Right,MOR_EAG,Undefined,1,Top,2,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.68851,-1.231471,2.659132,1665.316271,114.767392,9:45,5.49905,-1.71238,6.4766,-33.91738,7.42638,-12.34658,1.54034,-0.29762,73.51214,-7.65186,0.418131,0.462782,,,,,,,,,,,,7.47359,4.84138,1.53014,50,5.3978,-5.10034,-119.73689,-3.54041,10.46175,30.81611,-25.39692,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250216-KellField-1,267ef2a0-ec99-11ef-8c44-3f442e5ad386,81.44751,,,9.17638,,,,,,,472384b1-65a9-4521-904d-8812be60803e,2025-02-16,19:06:38.62,2025-02-16T13:06:38.6267136-06:00,2025-02-16T19:06:38.6267136Z,,v3,471233,471366,,"Amundson, Kaden",1000091247,Right,ASU_RED,53e2be50-5e37-439b-b02e-0dcf6df0b375,54.01966,-120.76698,15.40805,5.50196,-2.69147,-12.69846,1.70647,-5.45004,5.23087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-16,13:06:57.90,3,3,"Nelson, Jack",1000170792,Left,ASU_RED,"Robbins, Hayden",1000100866,Right,MOR_EAG,Undefined,1,Top,2,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.33864,0.999955,0.314349,1820.944728,90.332511,9:00,5.56375,-1.89169,6.42595,-41.35691,2.13469,-20.97383,3.0366,-3.35055,71.06703,-6.83664,-3.490554,0.474651,,,,,,,,,,,,10.8143,1.37476,1.87653,50,5.61819,0.19468,-117.66597,0.81225,14.35953,33.29055,-30.34862,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250216-KellField-1,31fab4c0-ec99-11ef-8c44-3f442e5ad386,79.41092,,,10.27161,,,,,,,472384b1-65a9-4521-904d-8812be60803e,2025-02-16,19:06:57.90,2025-02-16T13:06:57.9048448-06:00,2025-02-16T19:06:57.9048448Z,,v3,471233,471366,,"Amundson, Kaden",1000091247,Right,ASU_RED,3efe8a7f-5210-4533-a719-6633a2ec2e88,54.06456,-118.81037,16.64528,5.57233,1.85552,-15.17431,1.87832,-0.29894,7.17976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-16,13:07:14.52,3,4,"Nelson, Jack",1000170792,Left,ASU_RED,"Robbins, Hayden",1000100866,Right,MOR_EAG,Undefined,1,Top,2,1,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,74.95068,0.518988,-0.316352,1797.698602,279.377067,3:15,5.54209,-1.61969,5.99734,-52.5796,-1.52642,21.69859,1.64141,-0.10463,67.11094,-9.233753,3.594021,0.51426,61.4172,55.935313,99.054033,2373.978024,,,,,14.88513,,,-11.24737,-0.38677,1.63287,50,5.55475,-0.18151,-108.63984,-0.57628,-12.97714,25.16117,-32.62031,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250216-KellField-1,3bef1390-ec99-11ef-8c44-3f442e5ad386,73.2945,23.02641,,7.83974,,,,1.49016,1.81515,0.11708,472384b1-65a9-4521-904d-8812be60803e,2025-02-16,19:07:14.52,2025-02-16T13:07:14.5267200-06:00,2025-02-16T19:07:14.5267200Z,,v3,471233,471366,,"Amundson, Kaden",1000091247,Right,ASU_RED,acf09942-400f-42e5-9974-ad1bd0036946,54.50148,-109.67743,12.58058,5.55078,0.76891,-16.31015,1.62932,0.35364,-6.48857,322.768456,1.49369,-8.09061,-4.74412,,,,,,,1.8189,74.4627,-22.68701,,,,,,,0.12172,49.63029,-9.59486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
