PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:04:20.99,1,1,"Risse, Aiden",1000175356,Right,SAN_DON,"Piasecki, Aaron",1000189116,Left,CEN_MIC,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.27229,-1.575991,-2.830677,2181.164666,243.444947,2:00,5.25083,2.28603,6.97616,-23.86816,8.51315,14.87721,1.82626,0.94906,83.1239,-6.118783,-0.10626,0.409561,,,,,,,,,,,,-8.723,5.34709,-2.11524,50,5.14558,5.99183,-132.58969,-4.3139,-15.42251,30.1536,-22.72022,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,c0f2c010-f229-11ef-9143-933eec55c0c2,92.03131,,,8.14839,,,,,,,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:04:20.99,2025-02-23T13:04:20.9933312-08:00,2025-02-23T21:04:20.9933312Z,,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,96e043f2-ecd9-458d-8d21-f8c7ae590631,53.5214,-133.38813,15.0768,5.25184,-3.7123,-11.36011,-2.2793,6.4002,-7.71126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-23,13:04:36.20,1,2,"Risse, Aiden",1000175356,Right,SAN_DON,"Piasecki, Aaron",1000189116,Left,CEN_MIC,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.37623,-2.242575,-3.098942,1547.865981,221.261278,1:30,5.08634,2.4121,6.75061,-26.83257,10.09764,7.66563,0.79769,0.2173,78.0029,-7.33658,-1.701833,0.437383,,,,,,,,,,,,-5.06614,6.48654,-2.21125,50,4.92891,6.49457,-125.20745,-5.64132,-7.89594,29.57002,-22.0643,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,c9fe6c90-f229-11ef-9143-933eec55c0c2,86.17711,,,8.37333,,,,,,,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:04:36.20,2025-02-23T13:04:36.2001920-08:00,2025-02-23T21:04:36.2001920Z,,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,4d9693b2-d908-40ac-8e3d-17fac9f3de8c,53.74505,-126.08881,14.78501,5.08725,-4.98367,-11.03215,-2.40833,6.72991,-3.94797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-23,13:04:53.21,1,3,"Risse, Aiden",1000175356,Right,SAN_DON,"Piasecki, Aaron",1000189116,Left,CEN_MIC,Undefined,1,Top,0,1,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.13228,-0.31033,-2.014008,2499.394768,86.68414,9:00,5.29334,2.40529,6.38087,-38.84534,0.76913,-7.37343,1.77056,-0.06269,76.57511,-7.513616,-3.34974,0.453,65.27117,-44.066369,133.798818,,,,,1.93787,1.93787,47.671721,0.028992,3.31851,0.80748,-2.25684,50,5.25294,4.51341,-120.87406,-1.83224,4.90816,23.6258,-30.97979,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,d41dfa10-f229-11ef-9143-933eec55c0c2,83.20624,1.93663,,6.55717,,,,2.68973,1.93663,-0.01146,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:04:53.21,2025-02-23T13:04:53.2100096-08:00,2025-02-23T21:04:53.2100096Z,GroundBall,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,91733f84-1210-4d0c-bde4-ee287972e658,54.11951,-121.67659,11.8129,5.29731,-0.77991,-15.48989,-2.40733,4.34669,2.45408,,2.69046,-47.76504,,,,,,,,1.93765,-66.79861,,,,,,,,-0.01222,49.81098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2025-02-23,13:05:18.86,1,4,"Risse, Aiden",1000175356,Right,SAN_DON,"Piasecki, Aaron",1000189116,Left,CEN_MIC,Undefined,1,Top,0,1,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.21155,-0.415301,-3.237877,2245.678249,254.388288,2:30,5.22477,2.25673,7.03367,-26.06509,5.37063,15.7341,2.67475,0.62301,84.43523,-5.354913,-0.355464,0.403537,73.65279,30.888864,-137.56455,2591.189267,,,,,27.51809,,,-9.31875,3.28618,-2.06449,50,5.19112,7.00749,-134.07457,-1.71819,-16.96183,28.99725,-26.19259,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,e36c20f0-f229-11ef-9143-933eec55c0c2,93.40517,16.85605,,7.77632,,,,0.81444,2.69036,-0.62481,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:05:18.86,2025-02-23T13:05:18.8638208-08:00,2025-02-23T21:05:18.8638208Z,,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,707ee2b6-b468-4a75-9666-6fab1951f4c0,53.46624,-134.82216,14.49863,5.22671,-1.04291,-13.09629,-2.25079,7.44479,-8.48092,,0.81949,-68.63715,1.24266,,,,,,,2.70012,55.03977,-31.7432,,,,,,,-0.63341,-62.18456,19.33824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
5,2025-02-23,13:05:40.05,1,5,"Risse, Aiden",1000175356,Right,SAN_DON,"Piasecki, Aaron",1000189116,Left,CEN_MIC,Undefined,1,Top,0,1,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.44783,1.908565,0.288196,2766.804891,50.855917,7:45,5.52678,2.18712,6.0394,-59.50358,-13.4167,-18.5758,2.33597,0.90597,70.79286,-9.055689,-3.062522,0.488607,,,,,,,,,,,,9.6713,-7.10622,-2.19963,50,5.64392,0.11379,-113.84517,1.88971,12.37449,25.78284,-41.26651,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,f011bd10-f229-11ef-9143-933eec55c0c2,77.14257,,,7.65497,,,,,,,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:05:40.05,2025-02-23T13:05:40.0517632-08:00,2025-02-23T21:05:40.0517632Z,,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,13a3f813-636a-45c9-92a1-56d3c492468c,54.46166,-114.85117,12.89142,5.53877,3.49986,-20.63326,-2.19465,-0.36904,6.18725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-23,13:06:03.65,1,6,"Risse, Aiden",1000175356,Right,SAN_DON,"Piasecki, Aaron",1000189116,Left,CEN_MIC,Undefined,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.07206,1.873084,1.231911,2541.064984,67.621243,8:15,5.52907,2.10801,5.9959,-53.18897,-8.16288,-23.58781,2.83338,1.2841,71.82165,-7.931238,-3.015732,0.482952,,,,,,,,,,,,12.44457,-4.27327,-2.19248,50,5.64796,-1.57461,-114.80794,2.03536,16.36741,24.14939,-37.79435,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,fe258f30-f229-11ef-9143-933eec55c0c2,78.046,,,7.25041,,,,,,,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:06:03.65,2025-02-23T13:06:03.6574208-08:00,2025-02-23T21:06:03.6574208Z,,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,46de8460-9d68-47ce-b306-f8b665375f8b,54.50525,-115.75172,12.0747,5.53956,3.5124,-18.89717,-2.11844,-2.21427,8.1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-23,13:06:21.13,1,7,"Risse, Aiden",1000175356,Right,SAN_DON,"Piasecki, Aaron",1000189116,Left,CEN_MIC,Undefined,1,Top,0,2,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.71323,0.707876,-1.459478,2097.72898,251.623603,2:30,5.17713,2.25052,7.10441,-26.69836,6.3713,16.12288,3.59477,2.26961,82.08401,-4.371817,1.501858,0.413891,,,,,,,,,,,,-8.98607,3.55185,-2.16735,50,5.21102,2.74029,-130.58398,0.88502,-15.50696,27.65253,-26.0447,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,0888dc70-f22a-11ef-9143-933eec55c0c2,91.06846,,,7.62922,,,,,,,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:06:21.13,2025-02-23T13:06:21.1344384-08:00,2025-02-23T21:06:21.1344384Z,,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,77f22afc-53f6-4259-93f3-6f5813a1a411,53.39418,-131.30077,13.82627,5.17933,1.56013,-13.02235,-2.24359,3.14224,-7.75348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-23,13:06:39.36,1,8,"Risse, Aiden",1000175356,Right,SAN_DON,"Piasecki, Aaron",1000189116,Left,CEN_MIC,Undefined,1,Top,0,3,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.85776,-1.711155,-2.947935,2234.24509,226.920439,1:30,5.36652,2.20363,7.22678,-16.06528,16.11229,16.138,2.47634,0.87771,83.06125,-4.838739,0.019285,0.408271,,,,,,,,,,,,-9.54481,9.48182,-2.03841,50,5.26315,6.24197,-132.10675,-4.30022,-16.84668,28.47081,-15.43854,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,1362b940-f22a-11ef-9143-933eec55c0c2,92.32216,,,7.79651,,,,,,,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:06:39.36,2025-02-23T13:06:39.3672704-08:00,2025-02-23T21:06:39.3672704Z,,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,6cfb5bcb-abff-44dd-8241-059973e15134,53.27285,-132.81022,14.2354,5.36469,-3.91875,-7.71927,-2.19778,6.65822,-8.42334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-23,13:07:05.76,1,9,"Risse, Aiden",1000175356,Right,SAN_DON,"Piasecki, Aaron",1000189116,Left,CEN_MIC,Undefined,1,Top,0,3,2,Slider,Slider,InPlay,Undefined,LineDrive,Out,1,0,,81.63853,0.824186,-1.302136,2461.625339,82.768874,8:45,5.31812,2.30341,6.39134,-40.6938,0.12283,-8.21323,2.68527,0.42112,75.45159,-6.726053,-2.79056,0.459822,94.51914,17.987345,4.910175,1679.348747,109.79712,31.30099,6.67309,309.16386,300.4774,1.20491,3.403183,3.9691,0.1822,-2.20619,50,5.35857,2.98907,-118.79398,0.49181,5.70396,21.54794,-31.91219,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,2323ed40-f22a-11ef-9143-933eec55c0c2,81.97176,37.39026,,6.18694,,,,1.44637,2.69141,-0.43137,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:07:05.76,2025-02-23T13:07:05.7629696-08:00,2025-02-23T21:07:05.7629696Z,LineDrive,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,0d2112eb-8f35-4057-9796-46be41e8c84f,54.10939,-119.53706,10.77397,5.32263,1.59229,-15.95609,-2.30588,2.79238,2.85198,163.2334,1.44642,131.36798,-21.98264,5.04818,-1.02403,0.177,-0.02262,0.00157,-2E-05,2.69139,42.80656,-13.39024,0.00193,0.09683,-0.01475,-0.00313,0.00152,-0.00015,-0.43136,11.2853,-4.84152,1.05547,-0.2024,0.03257,-0.0037,0.00018,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-02-23,13:07:35.28,2,1,"Risse, Aiden",1000175356,Right,SAN_DON,"Knowlton, Zachary",10186683,Right,CEN_MIC,Undefined,1,Top,1,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.39687,0.103402,-2.171468,2583.80727,80.707863,8:45,5.38295,2.31773,6.4529,-40.21305,-0.42067,-9.05867,2.12693,-0.433,76.69795,-7.334639,-3.813931,0.454016,,,,,,,,,,,,4.25355,0.03319,-2.16002,50,5.37207,4.85885,-119.93599,-0.97969,6.26406,20.79784,-32.12519,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,34ba0850-f22a-11ef-9143-933eec55c0c2,83.02005,,,5.69892,,,,,,,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:07:35.28,2025-02-23T13:07:35.2892416-08:00,2025-02-23T21:07:35.2892416Z,,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,6eae1db6-04ff-436f-b044-b22ce225b6e6,54.04903,-120.63608,10.39892,5.38685,0.1017,-16.0626,-2.32002,4.64799,3.13203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2025-02-23,13:07:59.63,2,2,"Risse, Aiden",1000175356,Right,SAN_DON,"Knowlton, Zachary",10186683,Right,CEN_MIC,Undefined,1,Top,1,0,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.44387,0.593964,-3.946705,2170.796567,260.912422,2:45,5.34508,2.39859,6.9331,-29.32163,3.71229,16.43914,3.4436,0.17014,82.26129,-4.952934,-0.945462,0.413668,68.75376,40.169744,58.994134,3982.500327,46.06405,68.59674,99.89025,237.60263,86.06838,70.209178,4.494282,-9.90378,2.13012,-2.15678,50,5.37231,8.44925,-131.31827,0.50923,-17.1952,29.28876,-28.47571,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,433f8800-f22a-11ef-9143-933eec55c0c2,91.11772,70.45235,,8.18257,,,,0.00648,3.58741,-0.15796,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:07:59.63,2025-02-23T13:07:59.6382208-08:00,2025-02-23T21:07:59.6382208Z,FlyBall,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,c0006960-14a3-4482-9526-7cbacda61aec,53.56616,-132.11126,14.64438,5.34808,1.2802,-14.23785,-2.39185,8.91481,-8.5976,,0.00786,39.65521,-11.33342,2.50347,-0.11941,-0.15641,0.05735,-0.00832,0.00045,3.58568,65.0866,-17.41768,1.19778,-0.40802,0.13307,-0.02127,0.00114,2E-05,-0.15669,66.0122,-7.38737,1.27485,0.04136,-0.12302,0.03902,-0.00539,0.00029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
12,2025-02-23,13:08:23.56,2,3,"Risse, Aiden",1000175356,Right,SAN_DON,"Knowlton, Zachary",10186683,Right,CEN_MIC,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.09271,-1.344528,-3.40076,2168.701752,211.667047,1:00,5.53117,1.93717,6.81389,-13.77383,17.9978,10.36347,3.15424,-0.30565,83.42754,-4.066657,-1.51277,0.405687,,,,,,,,,,,,-6.62933,10.32386,-1.72097,50,5.43878,7.60854,-134.96433,-3.4685,-11.97441,35.04973,-13.52633,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,517f2510-f22a-11ef-9143-933eec55c0c2,92.91011,,,9.66517,,,,,,,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:08:23.56,2025-02-23T13:08:23.5615744-08:00,2025-02-23T21:08:23.5615744Z,,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,a3daea1a-d3d0-4cea-ae99-212ad0a178f5,53.68185,-135.91712,17.52487,5.52807,-3.1008,-6.76317,-1.93223,7.93405,-5.98721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2025-02-23,13:08:43.68,2,4,"Risse, Aiden",1000175356,Right,SAN_DON,"Knowlton, Zachary",10186683,Right,CEN_MIC,Undefined,1,Top,1,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.52506,-0.741184,-2.726938,2546.235083,64.802242,8:15,5.42012,2.04061,6.28855,-41.04636,-2.06882,-7.19815,1.31574,-1.07415,77.06517,-8.335891,-4.028021,0.449344,,,,,,,,,,,,2.86059,-0.3935,-1.83657,50,5.34642,6.1204,-122.64314,-2.91317,4.30209,27.10553,-32.76585,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,5d848990-f22a-11ef-9143-933eec55c0c2,83.88329,,,7.45989,,,,,,,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:08:43.68,2025-02-23T13:08:43.6860000-08:00,2025-02-23T21:08:43.6860000Z,,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,0c605ec0-2d11-4c0f-afae-567bd51f4abb,54.20871,-123.56982,13.55277,5.42687,-1.79299,-16.38292,-2.04329,5.97332,2.15105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7894,2.863079,1.037005,1.826074,-1.33878,0.90035,1.26984,-3.99391,4.79843,3.05737,65.91703,-1.78673,-58.86198,-3.95739,41.40157,-1.72775,4.94721,24.29021,-15.38929,2.96134,-38.60499,2.63272,High,High,High,,,High,High,High
14,2025-02-23,13:09:09.38,3,1,"Risse, Aiden",1000175356,Right,SAN_DON,"Prout, Cole",1000240502,Left,CEN_MIC,Undefined,1,Top,2,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.63712,0.760953,-2.677059,2661.880694,50.233549,7:45,5.43247,2.19546,6.20104,-61.1157,-11.99949,-16.45737,1.04273,-1.64892,69.04664,-10.46621,-5.648704,0.50441,,,,,,,,,,,,7.59059,-5.90839,-1.98644,50,5.46015,5.70785,-109.76836,-0.37579,9.07192,23.13399,-39.23548,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,6ce1a490-f22a-11ef-9143-933eec55c0c2,74.72576,,,6.59048,,,,,,,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:09:09.38,2025-02-23T13:09:09.3872128-08:00,2025-02-23T21:09:09.3872128Z,,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,7616a998-0969-4968-909f-09f57042ac13,54.2999,-110.67087,11.567,5.44496,1.15487,-19.61774,-2.20221,5.35394,4.53596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
15,2025-02-23,13:09:27.29,3,2,"Risse, Aiden",1000175356,Right,SAN_DON,"Prout, Cole",1000240502,Left,CEN_MIC,Undefined,1,Top,2,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.46507,-1.758577,-4.058119,2240.129413,204.928233,12:45,5.45701,2.24646,6.97424,-12.60398,20.14623,8.79024,2.80258,-0.7184,82.02129,-4.27823,-2.454226,0.411887,,,,,,,,,,,,-6.05154,11.68182,-1.99827,50,5.34334,9.06932,-132.52593,-4.3046,-10.54314,33.70108,-11.8217,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,7777c1a0-f22a-11ef-9143-933eec55c0c2,91.51155,,,9.44379,,,,,,,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:09:27.29,2025-02-23T13:09:27.2936448-08:00,2025-02-23T21:09:27.2936448Z,,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,fa468e4e-4f96-407d-8d7d-8a1d90576ee5,53.52173,-133.4185,16.85054,5.45321,-3.99151,-5.91085,-2.24217,9.34855,-5.27157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
16,2025-02-23,13:09:50.74,3,3,"Risse, Aiden",1000175356,Right,SAN_DON,"Prout, Cole",1000240502,Left,CEN_MIC,Undefined,1,Top,2,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,83.39205,-1.190677,-3.268541,1365.543859,240.698532,2:00,5.19138,2.23124,6.87176,-28.96348,10.15351,15.67442,1.69068,0.55535,75.73153,-6.695975,-0.405394,0.450147,49.34803,-75.950328,-63.570919,,,,,3.06491,3.06491,-18.597809,0.026057,-9.38075,6.16008,-2.02866,50,5.1053,6.38004,-121.07198,-3.26638,-13.76424,26.17017,-23.13548,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,8574b060-f22a-11ef-9143-933eec55c0c2,83.73367,1.83963,,7.66052,,,,2.69996,1.83963,-0.56522,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:09:50.74,2025-02-23T13:09:50.7402752-08:00,2025-02-23T21:09:50.7402752Z,GroundBall,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Ramppen, Zack",811256,Right,SAN_DON,bdb8b41d-a47e-4bf6-ad0f-4e63bcdfa191,53.62681,-121.8534,13.08509,5.19252,-2.57556,-11.56774,-2.22531,6.79104,-6.88212,,2.69978,7.86363,,,,,,,,1.84125,-70.59973,,,,,,,,-0.56486,-15.82101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
17,2025-02-23,13:12:34.78,1,1,"Stumpf, Liam",1000255445,Right,CEN_MIC,"Decelle, Kenny",1000068773,Right,SAN_DON,Undefined,1,Bottom,0,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.50466,-1.311805,-3.953427,1882.029043,253.672104,2:30,5.58798,3.0565,5.44637,-29.35289,6.82296,19.55241,1.91059,0.97859,81.44764,-6.69429,-0.479286,0.432892,,,,,,,,,,,,-10.85993,4.11575,-2.72067,50,5.45163,8.00393,-128.30933,-4.02436,-18.2247,24.89628,-25.26714,SAN_DON,CEN_MIC,BenedettiDiamond,D1,WCC,20250223-BenedettiDiamond-1,e7491790-f22a-11ef-9143-933eec55c0c2,87.07101,,,7.05701,,,,,,,2fb81a14-8e6b-487e-ad14-45682ed0fec3,2025-02-23,21:12:34.78,2025-02-23T13:12:34.7852800-08:00,2025-02-23T21:12:34.7852800Z,,v3,471434,471268,22 February 2025 17:00-cmichigan@sanfran,"Campanale, Rees",10061599,Right,CEN_MIC,c40d4d48-4dd9-4fcc-bebd-7a5fdb2221ba,55.05369,-129.2862,12.44814,5.59009,-3.03295,-12.63357,-3.04875,8.71902,-9.11235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
