PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,12:59:41.83,1,1,"Nix, Kemper",1000303725,Left,LIM_STO,"Nuckols, Bryson",10087627,Right,NEW_WLV,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.30342,-2.981928,1.910828,2414.059294,145.404601,10:45,6.42254,-0.88741,6.36628,-19.20344,14.78729,-9.23012,2.07422,0.10245,81.20862,-6.678375,0.23915,0.419615,,,,,,,,,,,,5.46937,9.18634,0.75303,50,6.1978,-4.01283,-132.09749,-7.41533,9.36054,36.37217,-16.45213,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,f3b55700-f6c6-11ef-b5ce-0d8b98484b4b,89.82616,,,10.0948,,,,,,,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,17:59:41.83,2025-03-01T12:59:41.8363904-05:00,2025-03-01T17:59:41.8363904Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,c7604d5f-7038-476b-8ccb-847fe6835aba,54.1276,-133.22914,18.18608,6.42055,-6.90345,-8.22606,0.88241,-4.30407,4.68027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-01,12:59:55.69,1,2,"Nix, Kemper",1000303725,Left,LIM_STO,"Nuckols, Bryson",10087627,Right,NEW_WLV,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.51727,-1.344941,1.412446,2424.991308,138.926835,10:45,6.61054,-0.96868,6.14546,-17.05099,16.40225,-13.2543,3.94619,-0.76773,82.58402,-4.619332,-0.977807,0.416285,,,,,,,,,,,,7.22477,9.22225,0.86739,50,6.4992,-2.69537,-132.76525,-3.59632,12.72205,31.98867,-15.93467,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,fbf2b700-f6c6-11ef-b5ce-0d8b98484b4b,90.54483,,,8.93326,,,,,,,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,17:59:55.69,2025-03-01T12:59:55.6901376-05:00,2025-03-01T17:59:55.6901376Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,72f501de-d6b9-44de-9a1d-f8663c6d668f,54.35096,-133.80947,15.99434,6.6081,-3.07615,-7.96734,0.96215,-3.11066,6.36102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-01,13:00:11.83,1,3,"Nix, Kemper",1000303725,Left,LIM_STO,"Nuckols, Bryson",10087627,Right,NEW_WLV,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.48909,-3.711028,2.320887,2502.671863,147.281512,11:00,6.64782,-0.93885,6.2301,-15.24221,19.06596,-11.43217,1.94624,0.25089,81.65431,-6.656518,0.257251,0.42157,76.58676,46.116393,26.289713,5371.883727,93.07793,85.13678,58.62158,162.61157,147.67175,35.461226,4.689021,6.71867,11.48178,0.77115,50,6.36265,-4.84518,-131.01388,-8.89951,11.49035,31.82299,-12.53779,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,05a726a0-f6c7-11ef-b5ce-0d8b98484b4b,89.40959,85.24647,,8.83478,,,,2.32628,2.172,-0.24307,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:00:11.83,2025-03-01T13:00:11.8311424-05:00,2025-03-01T18:00:11.8311424Z,FlyBall,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,0158670b-70dc-459c-a358-768c2658ce2d,54.26897,-132.04673,15.91149,6.6449,-8.49259,-6.26889,0.93446,-5.21811,5.74518,203.89068,2.29191,70.5548,-23.35617,10.81482,-5.95656,2.45765,-0.61425,0.08082,-0.00425,2.17868,80.78661,-22.33619,0.49054,1.34596,-0.86721,0.26635,-0.04074,0.00246,-0.22248,34.01179,-0.56802,-4.59985,3.92875,-1.86542,0.50008,-0.06997,0.00395,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-03-01,13:00:43.45,2,1,"Nix, Kemper",1000303725,Left,LIM_STO,"Free, Jesse",1000221126,Right,NEW_WLV,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.93051,-2.969269,3.594724,2559.388727,148.259229,11:00,6.52573,-1.0853,6.59898,-17.28383,16.14399,-9.24465,2.35728,1.44198,82.25782,-6.297469,1.917383,0.416126,,,,,,,,,,,,5.9828,9.77115,0.84317,50,6.31516,-7.90711,-131.69433,-7.288,10.37236,31.31133,-15.23382,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,18835640-f6c7-11ef-b5ce-0d8b98484b4b,90.57928,,,8.67269,,,,,,,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:00:43.45,2025-03-01T13:00:43.4585600-05:00,2025-03-01T18:00:43.4585600Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,99a0ab1f-08d9-4b48-8ef6-23606a889d78,53.89903,-132.61811,15.65566,6.52355,-6.83855,-7.61691,1.08096,-8.21313,5.18618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-01,13:00:57.01,2,2,"Nix, Kemper",1000303725,Left,LIM_STO,"Free, Jesse",1000221126,Right,NEW_WLV,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.1345,-1.93741,1.417791,2501.936195,157.530949,11:15,6.50339,-0.92622,6.6529,-17.63143,16.38528,-6.25087,3.25973,-0.14927,81.01864,-5.35639,0.279669,0.419776,,,,,,,,,,,,3.72378,9.61339,0.8328,50,6.36546,-2.98252,-130.74781,-4.85654,6.3227,32.48704,-15.85126,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,208226a0-f6c7-11ef-b5ce-0d8b98484b4b,89.79179,,,9.11585,,,,,,,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:00:57.01,2025-03-01T13:00:57.0143232-05:00,2025-03-01T18:00:57.0143232Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,06e60f48-1ba4-49dd-9536-da1eb9591dda,53.84196,-131.69896,16.24352,6.50085,-4.39245,-7.92563,0.92283,-3.16763,3.16135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-01,13:01:13.70,2,3,"Nix, Kemper",1000303725,Left,LIM_STO,"Free, Jesse",1000221126,Right,NEW_WLV,Undefined,1,Top,1,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.25567,-0.14481,0.660055,2350.050058,300.659891,4:00,6.20389,-1.35587,5.83821,-47.0201,-1.35504,4.66618,2.15095,-0.35352,72.10879,-8.763956,1.498495,0.486366,,,,,,,,,,,,-2.1991,-0.20965,1.29933,50,6.16449,-1.48383,-113.72579,-1.78787,-2.87745,21.03343,-32.44837,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,2a7ffb50-f6c7-11ef-b5ce-0d8b98484b4b,77.49805,,,6.14687,,,,,,,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:01:13.70,2025-03-01T13:01:13.7028608-05:00,2025-03-01T18:01:13.7028608Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,374a76fe-cc98-4f1e-bd0d-cf183a7b6c06,54.66259,-114.58489,10.51672,6.21045,-0.46254,-16.22419,1.35754,-1.3663,-1.43873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-01,13:01:30.47,2,4,"Nix, Kemper",1000303725,Left,LIM_STO,"Free, Jesse",1000221126,Right,NEW_WLV,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.97347,-1.204923,0.700761,2513.881858,153.427878,11:00,6.60559,-1.00002,6.36418,-14.93469,18.83851,-8.78741,4.25195,-1.08739,81.55725,-4.126736,-0.890549,0.418271,,,,,,,,,,,,4.74083,10.5217,0.95277,50,6.51104,-1.23564,-131.94758,-3.12573,8.19106,33.30175,-13.99504,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,346f5110-f6c7-11ef-b5ce-0d8b98484b4b,90.1149,,,9.41622,,,,,,,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:01:30.47,2025-03-01T13:01:30.4702464-05:00,2025-03-01T18:01:30.4702464Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,40c88931-938d-4a85-9a2a-628a49ed57a1,54.12984,-132.9858,16.65087,6.60169,-2.68941,-6.99752,0.99527,-1.49101,4.09553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-01,13:01:45.88,2,5,"Nix, Kemper",1000303725,Left,LIM_STO,"Free, Jesse",1000221126,Right,NEW_WLV,Undefined,1,Top,1,2,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.17941,-2.869264,1.205533,1936.917027,137.617822,10:30,6.48174,-0.91971,6.11967,-26.23419,15.36406,-12.65052,1.64005,-0.85921,74.55922,-7.805763,-1.077157,0.464204,,,,,,,,,,,,6.97217,9.29764,0.83407,50,6.2482,-2.0367,-119.14685,-6.71267,9.87696,25.99291,-19.00276,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,3dbee460-f6c7-11ef-b5ce-0d8b98484b4b,81.19799,,,7.62019,,,,,,,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:01:45.88,2025-03-01T13:01:45.8883072-05:00,2025-03-01T18:01:45.8883072Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,364f9745-b139-4281-9191-e458f41f798e,54.37958,-120.09849,12.99645,6.48122,-6.01695,-9.50138,0.91526,-2.39831,4.93848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-01,13:02:06.54,2,6,"Nix, Kemper",1000303725,Left,LIM_STO,"Free, Jesse",1000221126,Right,NEW_WLV,Undefined,1,Top,1,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.79406,-2.146457,1.788786,2367.495024,152.330906,11:00,6.54244,-0.73473,6.41627,-16.61359,18.54095,-9.06658,3.18275,0.15478,80.31281,-5.359701,0.145903,0.426739,92.28544,5.436955,-15.945949,2602.700694,,,,109.68409,109.68409,-16.672449,0.883606,5.315,10.73548,0.61091,50,6.38135,-3.66932,-128.84469,-5.24922,8.8189,30.00655,-14.36127,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,4a137a50-f6c7-11ef-b5ce-0d8b98484b4b,88.32675,5.34888,,8.48125,,,,1.95828,3.26008,0.04025,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:02:06.54,2025-03-01T13:02:06.5489920-05:00,2025-03-01T18:02:06.5489920Z,GroundBall,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,8444d7b6-77fa-4e25-a10f-ea244c24aaf6,54.08249,-129.79198,15.00327,6.53991,-4.79585,-7.18064,0.73115,-3.94773,4.40945,50.3877,2.01661,128.65771,-13.6783,,,,,,,3.31222,12.02302,-17.91066,,,,,,,0.0418,-37.04319,1.56281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-03-01,13:02:34.83,3,1,"Nix, Kemper",1000303725,Left,LIM_STO,"Wages, Wilson",10267606,Right,NEW_WLV,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,88.44495,-2.137281,2.437271,2441.028942,150.496161,11:00,6.54167,-0.73978,6.58166,-20.13387,15.09001,-7.83477,2.90243,0.84234,80.09937,-5.993587,1.013666,0.427159,73.05449,43.354116,8.672802,4540.247431,108.13956,75.41272,20.14518,221.07052,219.10662,12.589071,4.491571,4.8937,8.97225,0.57571,50,6.38644,-5.16343,-128.32228,-5.32592,8.05629,29.69878,-17.40344,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,5aec11c0-f6c7-11ef-b5ce-0d8b98484b4b,88.23979,77.11148,,8.34558,,,,1.85386,3.05091,-0.82376,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:02:34.83,2025-03-01T13:02:34.8318720-05:00,2025-03-01T18:02:34.8318720Z,FlyBall,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,4ece5647-7851-4d6e-88ef-84b0e133ecb0,53.91697,-129.22564,14.84939,6.54039,-4.79655,-8.70172,0.73649,-5.40848,4.02814,195.105392,1.85511,76.98816,-14.4112,3.26375,-0.55983,0.09124,-0.0193,0.00327,-0.00023,3.05127,73.54696,-21.03418,1.78455,-0.17126,-0.07222,0.03559,-0.00598,0.00036,-0.82422,11.76113,0.11195,-0.0859,-0.04569,0.03807,-0.01152,0.00163,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
11,2025-03-01,13:04:48.91,1,1,"French, Hunter",1000221114,Right,NEW_WLV,"Hodierne, Corey",1000359121,Right,LIM_STO,Undefined,1,Bottom,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.02203,-2.318222,-0.913899,1898.207216,220.090518,1:15,6.07784,1.02884,6.74834,-23.13092,12.97166,10.07323,2.03102,1.03331,79.85779,-6.67892,0.925119,0.432455,,,,,,,,,,,,-5.58264,7.76292,-0.97246,50,5.91644,1.64699,-125.19532,-5.68508,-8.96596,22.45862,-19.70645,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,aad02ff0-f6c7-11ef-b5ce-0d8b98484b4b,87.15929,,,6.16423,,,,,,,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:04:48.91,2025-03-01T13:04:48.9182720-05:00,2025-03-01T18:04:48.9182720Z,,v3,LIM_STO,,,"McCurry, Campbell",10131281,Right,NEW_WLV,61077f36-4ae9-4529-9f2f-8796968a5011,53.75346,-125.86685,11.22931,6.07762,-5.09585,-9.85323,-1.02571,1.91508,-4.48298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2025-03-01,13:05:04.48,1,2,"French, Hunter",1000221114,Right,NEW_WLV,"Hodierne, Corey",1000359121,Right,LIM_STO,Undefined,1,Bottom,0,0,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,81.08157,-2.487822,-1.362477,1719.505888,215.829009,1:15,5.93498,1.29782,6.98944,-27.47895,13.42875,8.7263,1.38073,0.78581,74.28929,-7.709286,0.238341,0.460335,59.34075,-12.08778,30.538163,,,,,9.63093,3.06443,17.506818,0.085461,-5.08142,8.31044,-1.21667,50,5.77265,2.52317,-117.84998,-5.77532,-7.10979,23.46663,-20.54634,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,b4284ec0-f6c7-11ef-b5ce-0d8b98484b4b,81.88048,1.56224,,6.79228,,,,2.90191,1.56224,-0.8094,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:05:04.48,2025-03-01T13:05:04.4849664-05:00,2025-03-01T18:05:04.4849664Z,GroundBall,v3,LIM_STO,,,"McCurry, Campbell",10131281,Right,NEW_WLV,ad271dbe-0ddf-439a-b43c-c9ff24e4d2d4,53.51054,-118.54695,11.73332,5.93512,-5.16509,-10.27317,-1.29475,2.73434,-3.5549,,2.89889,73.51851,,,,,,,,1.56299,-18.28024,,,,,,,,-0.81118,43.3717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
13,2025-03-01,13:05:32.41,2,1,"French, Hunter",1000221114,Right,NEW_WLV,"Bonocore, Ethan",10052374,Right,LIM_STO,Undefined,1,Bottom,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.8832,-0.224381,-1.092564,2026.622075,130.384932,10:15,6.066,1.07675,6.23559,-45.39199,6.23355,-5.01205,2.07631,-0.34893,66.62804,-8.70719,-1.999136,0.517135,,,,,,,,,,,,2.20662,3.90091,-0.99295,50,6.02744,2.21548,-107.14606,-1.65643,2.50251,22.72763,-27.75002,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,c4d23510-f6c7-11ef-b5ce-0d8b98484b4b,72.88705,,,7.25516,,,,,,,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:05:32.41,2025-03-01T13:05:32.4147200-05:00,2025-03-01T18:05:32.4147200Z,,v3,LIM_STO,,,"McCurry, Campbell",10131281,Right,NEW_WLV,03b21abf-5c6f-4294-a21e-7d1606698ce7,54.26052,-108.04601,11.36382,6.07128,-0.55761,-13.87501,-1.07871,2.11638,1.25125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
14,2025-03-01,13:05:43.74,2,2,"French, Hunter",1000221114,Right,NEW_WLV,"Bonocore, Ethan",10052374,Right,LIM_STO,Undefined,1,Bottom,1,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.8151,-3.930603,-2.961555,1985.050317,220.015082,1:15,6.0883,0.9744,6.98406,-19.31564,16.63721,12.92855,0.89362,-0.64397,79.13701,-7.642895,-0.594562,0.431557,,,,,,,,,,,,-7.74933,10.41906,-0.79544,50,5.83887,6.04841,-125.83208,-9.1003,-12.33513,27.25246,-15.58935,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,cb839de0-f6c7-11ef-b5ce-0d8b98484b4b,87.34062,,,7.6781,,,,,,,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:05:43.74,2025-03-01T13:05:43.7426688-05:00,2025-03-01T18:05:43.7426688Z,,v3,LIM_STO,,,"McCurry, Campbell",10131281,Right,NEW_WLV,66229d9a-cffb-4efc-8a57-a84086494eff,53.51456,-126.59097,13.62623,6.08624,-8.66619,-7.79468,-0.96865,6.3919,-6.16757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
15,2025-03-01,13:05:55.32,2,3,"French, Hunter",1000221114,Right,NEW_WLV,"Bonocore, Ethan",10052374,Right,LIM_STO,Undefined,1,Bottom,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.43917,-2.792367,-3.799974,1593.992501,247.436968,2:15,5.88137,1.1823,7.1621,-33.89033,7.23733,14.39765,0.51878,-1.06699,74.40021,-9.166544,-1.154209,0.461571,,,,,,,,,,,,-8.77056,5.04099,-0.96351,50,5.7077,7.31245,-116.79468,-6.53202,-12.15453,21.32029,-25.18807,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,d27e6bc0-f6c7-11ef-b5ce-0d8b98484b4b,81.66119,,,6.03896,,,,,,,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:05:55.32,2025-03-01T13:05:55.3239040-05:00,2025-03-01T18:05:55.3239040Z,,v3,LIM_STO,,,"McCurry, Campbell",10131281,Right,NEW_WLV,6428872b-aa39-4aeb-9e05-93005c0e8c9a,53.33936,-117.40267,10.66014,5.88374,-5.81372,-12.59404,-1.17698,7.65906,-6.07727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
16,2025-03-01,13:06:06.36,2,4,"French, Hunter",1000221114,Right,NEW_WLV,"Bonocore, Ethan",10052374,Right,LIM_STO,Undefined,1,Bottom,1,2,1,Fastball,Changeup,InPlay,Undefined,Popup,Out,1,0,,86.02064,-1.739381,-1.14963,2038.118997,211.686534,1:00,6.12392,1.06988,6.96252,-18.85694,17.46363,10.05071,2.96919,0.86135,78.54042,-5.383383,0.691575,0.433758,80.04384,40.495626,11.740123,5057.383287,106.95039,78.37882,25.72088,223.6417,190.53998,14.313902,4.801651,-5.6991,10.18134,-1.00161,50,6.00932,2.1614,-125.09324,-4.22546,-8.99237,26.23242,-16.10935,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,d9059040-f6c7-11ef-b5ce-0d8b98484b4b,86.89736,83.19266,,7.48022,,,,0.92613,2.9118,-0.88187,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:06:06.36,2025-03-01T13:06:06.3642624-05:00,2025-03-01T18:06:06.3642624Z,FlyBall,v3,LIM_STO,,,"McCurry, Campbell",10131281,Right,NEW_WLV,2af22a53-1f54-45e3-b652-aa0b559e0972,53.53706,-125.83278,13.11621,6.12204,-3.77131,-8.05467,-1.06612,2.41491,-4.49618,194.87182,0.93063,87.31488,-20.20301,4.53323,-0.62952,0.03028,-0.00403,0.0023,-0.00024,2.91333,76.19549,-20.49943,1.1427,0.22985,-0.22682,0.07379,-0.01087,0.0006,-0.88014,18.12757,-0.56836,-0.94906,0.51185,-0.18283,0.04209,-0.00523,0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
17,2025-03-01,13:06:33.47,3,1,"French, Hunter",1000221114,Right,NEW_WLV,"Partridge, Benny",1000273824,Right,LIM_STO,Undefined,1,Bottom,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.73097,-2.957397,-1.178738,2049.760055,219.704094,1:15,6.16172,0.87326,6.98041,-19.38867,16.30985,12.58733,1.85328,0.84999,79.4556,-6.678182,1.128805,0.430028,,,,,,,,,,,,-7.0939,9.91776,-0.80443,50,5.97252,2.16325,-126.0601,-6.96862,-11.38451,26.26706,-16.25773,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,e9231510-f6c7-11ef-b5ce-0d8b98484b4b,87.65115,,,7.27536,,,,,,,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:06:33.47,2025-03-01T13:06:33.4754816-05:00,2025-03-01T18:06:33.4754816Z,,v3,LIM_STO,,,"McCurry, Campbell",10131281,Right,NEW_WLV,076cff14-b237-48e4-8e61-87ec33689b7f,53.52039,-126.79152,13.13353,6.16026,-6.51592,-8.12887,-0.86907,2.48026,-5.69226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
18,2025-03-01,13:06:45.01,3,2,"French, Hunter",1000221114,Right,NEW_WLV,"Partridge, Benny",1000273824,Right,LIM_STO,Undefined,1,Bottom,2,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.31941,-1.897276,-3.078181,1733.172591,248.285985,2:15,5.99916,1.11083,7.00496,-33.70132,7.99386,16.65383,1.46283,-0.30233,73.6482,-8.258912,-0.024639,0.464745,,,,,,,,,,,,-9.82099,5.23323,-0.92715,50,5.87183,5.74383,-116.69026,-4.70943,-13.47689,22.93466,-24.99273,LIM_STO,NEW_WLV,LimestoneUniversity,D2,CC,20250301-LimestoneUniversity-1,f018d9e0-f6c7-11ef-b5ce-0d8b98484b4b,81.10353,,,6.67122,,,,,,,1dad660b-9951-434f-a8aa-f33b9d3ff8f0,2025-03-01,18:06:45.01,2025-03-01T13:06:45.0157568-05:00,2025-03-01T18:06:45.0157568Z,,v3,LIM_STO,,,"McCurry, Campbell",10131281,Right,NEW_WLV,860eb5ff-c448-4bb8-8562-d04653c42f6b,53.49606,-117.37537,11.46733,6.00136,-3.96284,-12.49637,-1.10475,6.14641,-6.73845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
